tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,imdbTop250Rank
tt1345836,movie,The Dark Knight Rises,The Dark Knight Rises,0,2012,,164,"Action,Crime,Drama",8.4,1978133,73
tt4154796,movie,Avengers: Endgame,Avengers: Endgame,0,2019,,181,"Action,Adventure,Sci-Fi",8.4,1427721,74
tt0119217,movie,Good Will Hunting,Good Will Hunting,0,1997,,126,"Drama,Romance",8.4,1201800,75
tt2380307,movie,Coco,Coco,0,2017,,105,"Adventure,Animation,Drama",8.4,696621,76
tt0086879,movie,Amadeus,Amadeus,0,1984,,160,"Biography,Drama,Music",8.4,464981,77
tt0114709,movie,Toy Story,Toy Story,0,1995,,81,"Adventure,Animation,Comedy",8.3,1163609,78
tt5311514,movie,Your Name.,Kimi no na wa.,0,2016,,106,"Animation,Drama,Fantasy",8.4,385469,79
tt0082096,movie,Das Boot,Das Boot,0,1981,,149,"Drama,War",8.3,286450,80
tt0364569,movie,Oldboy,Oldeuboi,0,2003,,120,"Action,Drama,Mystery",8.3,710978,81
tt0112573,movie,Braveheart,Braveheart,0,1995,,178,"Biography,Drama,War",8.3,1154973,82
tt0119698,movie,Princess Mononoke,Mononoke-hime,0,1997,,133,"Adventure,Animation,Fantasy",8.3,479257,83
tt0057012,movie,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,0,1964,,95,"Comedy,War",8.3,549008,84
tt1187043,movie,3 Idiots,3 Idiots,0,2009,,170,"Comedy,Drama",8.4,477636,85
tt0169547,movie,American Beauty,American Beauty,0,1999,,122,Drama,8.3,1274231,86
tt8267604,movie,Capernaum,Capharnaüm,0,2018,,126,Drama,8.4,122769,87
tt0045152,movie,Singin' in the Rain,Singin' in the Rain,0,1952,,103,"Comedy,Musical,Romance",8.3,280779,88
tt7286456,movie,Joker,Joker,0,2019,,122,"Crime,Drama,Thriller",8.3,1675816,89
tt0087843,movie,Once Upon a Time in America,C'era una volta in America,0,1984,,229,"Crime,Drama",8.3,406343,90
tt0091251,movie,Come and See,Idi i smotri,0,1985,,142,"Drama,Thriller,War",8.3,120868,91
tt0086190,movie,Star Wars: Episode VI - Return of the Jedi,Star Wars: Episode VI - Return of the Jedi,0,1983,,131,"Action,Adventure,Fantasy",8.3,1200712,92
