tconst,titleType,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,imdbTop250Rank,letterboxdUrl,letterboxdRatingOutOf5,rottenTomatoesPercent,metacriticScore,metacriticUserScore
tt0253474,movie,The Pianist,The Pianist,2002,150,"Biography,Drama,Music",8.5,1004350,32,https://letterboxd.com/film/the-pianist/,4.4,95.0,85.0,
tt0172495,movie,Gladiator,Gladiator,2000,155,"Action,Adventure,Drama",8.5,1832483,33,https://letterboxd.com/film/gladiator-2000/,4.17,80.0,67.0,
tt6751668,movie,Parasite,Gisaengchung,2019,132,"Drama,Thriller",8.5,1145711,34,https://letterboxd.com/film/parasite-2019/,4.53,99.0,97.0,
tt0095327,movie,Grave of the Fireflies,Hotaru no haka,1988,88,"Animation,Drama,War",8.5,378668,35,https://letterboxd.com/film/grave-of-the-fireflies/,4.48,100.0,94.0,
tt0054215,movie,Psycho,Psycho,1960,109,"Drama,Horror,Mystery",8.5,780477,36,https://letterboxd.com/film/psycho/,4.31,97.0,97.0,
tt0110357,movie,The Lion King,The Lion King,1994,88,"Adventure,Animation,Drama",8.5,1248710,37,https://letterboxd.com/film/the-lion-king/,4.23,92.0,88.0,
tt0056058,movie,Harakiri,Seppuku,1962,133,"Drama,Mystery",8.6,89534,38,https://letterboxd.com/film/harakiri/,4.69,100.0,85.0,
tt0407887,movie,The Departed,The Departed,2006,151,"Crime,Drama,Thriller",8.5,1541808,39,https://letterboxd.com/film/the-departed/,4.34,91.0,85.0,
tt2582802,movie,Whiplash,Whiplash,2014,106,"Drama,Music",8.5,1139023,40,https://letterboxd.com/film/whiplash-2014/,4.42,94.0,89.0,
tt0482571,movie,The Prestige,The Prestige,2006,130,"Drama,Mystery,Sci-Fi",8.5,1573591,41,https://letterboxd.com/film/the-prestige/,4.28,77.0,66.0,
tt0120586,movie,American History X,American History X,1998,119,"Crime,Drama",8.5,1265766,42,https://letterboxd.com/film/american-history-x/,4.15,84.0,62.0,
tt0110413,movie,Léon: The Professional,Léon,1994,110,"Action,Crime,Drama",8.5,1342499,43,https://letterboxd.com/film/leon-the-professional/,4.01,76.0,64.0,
tt9362722,movie,Spider-Man: Across the Spider-Verse,Spider-Man: Across the Spider-Verse,2023,140,"Action,Adventure,Animation",8.5,510178,44,https://letterboxd.com/film/spider-man-across-the-spider-verse/,4.4,95.0,86.0,
tt0095765,movie,Cinema Paradiso,Nuovo Cinema Paradiso,1988,174,"Drama,Romance",8.5,315268,45,https://letterboxd.com/film/cinema-paradiso/,4.5,90.0,80.0,
tt6019206,movie,Kill Bill: The Whole Bloody Affair,Kill Bill: The Whole Bloody Affair,2006,248,"Action,Crime,Thriller",8.8,26150,46,https://letterboxd.com/film/kill-bill-the-whole-bloody-affair/,4.48,100.0,,
tt0034583,movie,Casablanca,Casablanca,1942,102,"Drama,Romance,War",8.5,652037,47,https://letterboxd.com/film/casablanca/,4.28,99.0,100.0,
tt1675434,movie,The Intouchables,Intouchables,2011,112,"Comedy,Drama",8.5,1018158,48,https://letterboxd.com/film/the-intouchables/,4.15,75.0,57.0,
tt0114814,movie,The Usual Suspects,The Usual Suspects,1995,106,"Crime,Drama,Mystery",8.5,1230246,49,https://letterboxd.com/film/the-usual-suspects/,4.07,87.0,76.0,
tt0078748,movie,Alien,Alien,1979,117,"Horror,Sci-Fi",8.5,1055879,50,https://letterboxd.com/film/alien/,4.25,93.0,89.0,
tt1853728,movie,Django Unchained,Django Unchained,2012,165,"Drama,Western",8.5,1865486,51,https://letterboxd.com/film/django-unchained/,4.33,87.0,81.0,
tt0027977,movie,Modern Times,Modern Times,1936,87,"Comedy,Drama,Romance",8.5,283890,52,https://letterboxd.com/film/modern-times/,4.26,98.0,96.0,
tt0047396,movie,Rear Window,Rear Window,1954,112,"Drama,Mystery,Thriller",8.5,566048,53,https://letterboxd.com/film/rear-window/,4.37,99.0,100.0,
tt0064116,movie,Once Upon a Time in the West,C'era una volta il West,1968,145,"Drama,Western",8.5,382011,54,https://letterboxd.com/film/once-upon-a-time-in-the-west/,4.39,96.0,82.0,
tt0021749,movie,City Lights,City Lights,1931,87,"Comedy,Drama,Romance",8.5,215402,55,https://letterboxd.com/film/city-lights/,4.33,95.0,99.0,
tt0078788,movie,Apocalypse Now,Apocalypse Now,1979,147,"Drama,Mystery,War",8.4,765466,56,https://letterboxd.com/film/apocalypse-now/,4.44,91.0,94.0,
tt0910970,movie,WALL·E,WALL·E,2008,98,"Adventure,Animation,Family",8.4,1308716,57,https://letterboxd.com/film/walle/,4.23,95.0,95.0,
tt0209144,movie,Memento,Memento,2000,113,"Drama,Mystery,Thriller",8.4,1424945,58,https://letterboxd.com/film/memento/,4.18,93.0,83.0,
tt15239678,movie,Dune: Part Two,Dune: Part Two,2024,166,"Action,Adventure,Drama",8.4,717849,59,https://letterboxd.com/film/dune-part-two/,4.38,92.0,79.0,
tt0082971,movie,Raiders of the Lost Ark,Raiders of the Lost Ark,1981,115,"Action,Adventure",8.4,1104252,60,https://letterboxd.com/film/raiders-of-the-lost-ark/,4.15,94.0,86.0,
tt4154756,movie,Avengers: Infinity War,Avengers: Infinity War,2018,149,"Action,Adventure,Sci-Fi",8.4,1355038,61,https://letterboxd.com/film/avengers-infinity-war/,4.03,85.0,68.0,
tt0405094,movie,The Lives of Others,Das Leben der Anderen,2006,137,"Drama,Mystery,Thriller",8.4,441043,62,https://letterboxd.com/film/the-lives-of-others/,4.29,92.0,89.0,
tt4633694,movie,Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse,2018,117,"Action,Adventure,Animation",8.4,777351,63,https://letterboxd.com/film/spider-man-into-the-spider-verse/,4.4,97.0,87.0,
tt0043014,movie,Sunset Boulevard,Sunset Blvd.,1950,110,"Drama,Film-Noir",8.4,259553,64,https://letterboxd.com/film/sunset-boulevard/,4.43,98.0,94.0,
tt0051201,movie,Witness for the Prosecution,Witness for the Prosecution,1957,116,"Crime,Drama,Mystery",8.4,160223,65,https://letterboxd.com/film/witness-for-the-prosecution-1957/,4.4,100.0,76.0,
tt0050825,movie,Paths of Glory,Paths of Glory,1957,88,"Drama,War",8.4,237351,66,https://letterboxd.com/film/paths-of-glory/,4.45,96.0,90.0,
tt0081505,movie,The Shining,The Shining,1980,146,"Drama,Horror",8.4,1215603,67,https://letterboxd.com/film/the-shining/,4.22,84.0,68.0,
tt0032553,movie,The Great Dictator,The Great Dictator,1940,125,"Comedy,Drama,War",8.4,258202,68,https://letterboxd.com/film/the-great-dictator/,4.33,92.0,,
tt0361748,movie,Inglourious Basterds,Inglourious Basterds,2009,153,"Adventure,Drama,War",8.4,1764000,69,https://letterboxd.com/film/inglourious-basterds/,4.36,89.0,69.0,
